Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
Q15233	Q15233		NONO		212844	269863	357882	119703	818479	77147.1	351448	211186	561198	854402
Q15262	Q15262		PTPRK		307599	398096	174211	168038	157687	234901	303507	140969	448024	102809
Q15269	Q15269		PWP2		805823	184140	1.01086e+06	151133	52221.4	136699		206917	204464	
Q15274	Q15274		QPRT		57435.3	109383		11473.6		134294		52404.6		
Q15276	Q15276		RABEP1		522587	483133	473747	655942	651716	317029	328184	451902	537578	386559
Q15286	Q15286		RAB35		389605	413312	179178	497094	277257	465857		391841	458980	279339
Q15291	Q15291		RBBP5		691218		615072	671983	636045	639292	1.20242e+06	774084	905442	
Q15293	Q15293		RCN1		4.5924e+06		6.26708e+06	1.77026e+06	4.50982e+06	1.66472e+06	5.51145e+06			6.35789e+06
Q15345	Q15345		LRRC41			113650	100795			119694	109624	144934	167851	78933.8
Q15365	Q15365		PCBP1		9.45551e+06	1.19597e+07	8.40739e+06	1.04278e+07	8.27621e+06	1.86951e+07	1.01897e+07	1.22038e+07	8.6615e+06	1.03416e+07
Q15366	Q15366		PCBP2		98819.9	102115	113959	127987	108535	221242			62293.2	275599
Q15370	Q15370		ELOB		4.82368e+06	4.47775e+06	4.64355e+06	6.80087e+06	7.57479e+06	3.54455e+06	5.07618e+06	6.0271e+06	4.64009e+06	3.53294e+06
Q15393	Q15393		SF3B3		1.43376e+06	1.3985e+06	1.8932e+06	1.48164e+06	1.23232e+06	1.05057e+06	1.75238e+06	1.15062e+06	1.61909e+06	1.83735e+06
Q15417	Q15417		CNN3		3.52232e+06	5.51401e+06	5.83865e+06	2.98254e+06	4.77473e+06	2.97087e+06	9.85349e+06	5.63415e+06	7.52712e+06	1.09052e+07
Q15418	Q15418		RPS6KA1		1.36745e+06	1.9309e+06	753584	1.9215e+06	598783	1.02123e+06	583653	1.33209e+06	1.55568e+06	898105
Q15428	Q15428		SF3A2		556534	886461	799875	563656	831366	797752	984100	795277	1.02521e+06	1.11481e+06
Q15435	Q15435		PPP1R7		4.67805e+06	4.5918e+06	5.34728e+06	5.56143e+06	5.2374e+06	4.57866e+06	3.94998e+06	4.66069e+06	5.3999e+06	5.46683e+06
Q15436	Q15436		SEC23A		1.43114e+06	2.4628e+06	2.38677e+06	1.66523e+06	845170	2.87986e+06	1.99053e+06	3.23015e+06	896494	3.219e+06
Q15437	Q15437		SEC23B		1.25842e+06	886042	1.45217e+06	1.42385e+06	1.52255e+06	505586	862878	1.06807e+06	1.32453e+06	828577
Q15459	Q15459		SF3A1		1.3362e+06	1.17769e+06	1.79208e+06	1.55047e+06	703443	1.34497e+06	1.40059e+06	1.06e+06	1.56582e+06	1.59994e+06
Q15477	Q15477		SKIC2		1.08661e+06	1.01453e+06	752469	990627	1.1538e+06	1.1581e+06	977408	1.38487e+06	1.13328e+06	1.17122e+06
Q15493	Q15493		RGN		3.3751e+06	5.49256e+06		4.24383e+06	2.60076e+06	6.51518e+06	1.19597e+06	1.87129e+06	2.4095e+06	
Q15555	Q15555		MAPRE2			291943	1.24432e+06	385881	692420			587722		717051
Q15582	Q15582		TGFBI		2.66306e+06	1.88663e+06	4.56201e+06	1.42998e+06	534544	1.00563e+06	594987	498800	2.6676e+06	7.79387e+06
Q15599	Q15599		NHERF2		388839	802072		520735		685769		256514	519977	
Q15628	Q15628		TRADD		485046	994598	2.81784e+06	478719	4.30683e+06	769916	2.2408e+06	4.94774e+06	884306	1.27428e+06
Q15631	Q15631		TSN		1.37174e+06	2.17203e+06	1.75014e+06	2.4017e+06	3.51762e+06	1.39226e+06	2.32529e+06	2.68383e+06	2.76938e+06	1.81129e+06
Q15642	Q15642		TRIP10		249483	170128	492293	238779	115116	374324	283614	336421	393800	751625
Q15648	Q15648		MED1		31389.2	28307.9	11895.8		26544.1	32399.6	15097.8	30276.1		5738.03
Q15650	Q15650		TRIP4									147043	111150	
Q15654	Q15654		TRIP6		338222	243618	71965.1	487940	224167	408813	163924	279452	376563	342844
Q15746	Q15746		MYLK		7.76396e+06	5.48275e+06	2.00817e+06	4.68358e+06	3.66703e+06	4.96469e+06	4.01611e+06	4.90046e+06	7.08159e+06	3.80059e+06
Q15750	Q15750		TAB1		851854	831122	988850	969022	1.16135e+06	919062	1.49883e+06	1.10154e+06	958612	888520
Q15758	Q15758		SLC1A5		598797	1.09632e+06	394160	698495	580404	695203	1.04181e+06	448916	564781	559462
Q15785	Q15785		TOMM34		1.69415e+06	1.11315e+06	861830	1.45054e+06	758004	1.2222e+06	1.31174e+06	700908	1.18875e+06	530222
Q15811	Q15811		ITSN1		480648	729130		217102		236254	647899	408234		
Q15813	Q15813		TBCE		494333	410019	488534	398978	528539	312501	552517	271859	261676	626707
Q15831	Q15831		STK11		226845			247623	252953	220717		237643	280876	
Q15833	Q15833		STXBP2		1.13245e+06	1.13249e+06	1.13185e+06	641410		1.37344e+06	787101	895492	948878	1.08413e+06
Q15836	Q15836		VAMP3		1.26531e+06	829402	1.60075e+06	1.30001e+06	589382	1.63965e+06	1.73155e+06	1.74915e+06	551940	2.41578e+06
Q15904	Q15904		ATP6AP1				42270.1			8777.62		77263.7		
Q15942	Q15942		ZYX		3.81905e+06	3.49597e+06	4.6422e+06	2.12376e+06	4.77727e+06	3.91936e+06	1.94519e+06	4.06787e+06	2.59795e+06	7.93745e+06
Q16134	Q16134		ETFDH		1.00498e+07	1.56606e+07	2.23086e+06	1.30983e+07	4.04841e+06	1.3442e+07	2.66847e+06	3.68248e+06	8.73182e+06	2.68115e+06
Q16181	Q16181		SEPTIN7		1.09179e+07	9.00319e+06	4.45166e+06	5.16533e+06	9.5267e+06	7.31743e+06	8.76811e+06	1.05397e+07	1.19277e+07	8.56338e+06
Q16186	Q16186		ADRM1		474489	370558				425473	563950	413650	283244	252048
Q16204	Q16204		CCDC6		1.26844e+06	1.59023e+06	1.00686e+06	1.90809e+06	2.26988e+06	1.58165e+06	920278	1.66049e+06	1.42223e+06	640014
Q16222	Q16222		UAP1		366082	242959	471609	565640	485426	192325	465788	196197	207893	284140
Q16270	Q16270		IGFBP7		2.27018e+06	1.79825e+06	361769	1.7492e+06	2.48744e+06	2.03527e+06		2.45816e+06	1.92903e+06	1.0335e+06
Q16363	Q16363		LAMA4		2.31636e+06	1.05736e+06	4.1142e+06	1.35793e+06	4.71453e+06	1.00246e+06	6.18473e+06	6.87489e+06	2.76405e+06	7.09665e+06
Q16512	Q16512		PKN1					149079	297366			360921		
Q16513	Q16513		PKN2		165809	244054	110346	118656	73203.1	121915		188362	178550	149438
Q16527	Q16527		CSRP2		490079	245131		515619	458690	635603		168926	301165	263617
Q16531	Q16531		DDB1		1.56122e+06	1.60832e+06	1.28168e+06	1.59733e+06	1.39047e+06	1.48116e+06	1.61549e+06	1.88926e+06	1.8498e+06	1.27027e+06
Q16537	Q16537		PPP2R5E		759746	538613	543605	830784	619464	442862	664266	565383	724508	492820
Q16539	Q16539		MAPK14		875609	768277	876908	811398	1.29598e+06	857139	960564	1.02865e+06	1.26226e+06	803223
Q16543	Q16543		CDC37		3.16159e+06	3.42076e+06	3.60833e+06	2.90129e+06	2.75111e+06	4.26312e+06	4.46804e+06	4.72847e+06	3.68774e+06	4.45203e+06
Q16555	Q16555		DPYSL2		8.18451e+06	5.79453e+06	6.50872e+06	5.84472e+06	1.76771e+07	5.29094e+06	1.13626e+07	1.0438e+07	7.49541e+06	7.8152e+06
Q16563	Q16563		SYPL1		6.83742e+06	4.78515e+06	971110	5.76345e+06	1.99409e+06	5.41247e+06	3.47538e+06	4.92694e+06	5.798e+06	
Q16576	Q16576		RBBP7		2.18518e+06	2.00606e+06	3.39509e+06	2.63026e+06	2.58501e+06	1.82462e+06	2.03382e+06	2.07453e+06	2.68174e+06	2.3192e+06
Q16595	Q16595		FXN		1.48357e+06	1.49756e+06	574554	1.13329e+06	605486	1.27706e+06		826574	1.40803e+06	
Q16625	Q16625		OCLN		549104	276385		304876		133236			698377	82256.2
Q16629	Q16629		SRSF7		1.00642e+06	1.27787e+06	1.16528e+06	1.37844e+06	2.06266e+06	778957	1.88875e+06	1.35069e+06	1.20181e+06	1.08801e+06
Q16643	Q16643		DBN1		1.5855e+06	939561	1.15524e+06	1.95564e+06	564403	1.52768e+06	853575	590394	1.94939e+06	1.47215e+06
Q16647	Q16647		PTGIS				3.25282e+06						104307	
Q16658	Q16658		FSCN1		475187	493991	658909	409593	989892	202624	809334	334258	303030	657274
Q16666	Q16666		IFI16		2.25855e+06	985500	2.84189e+06	671260	2.2006e+06	729127	1.51329e+06	2.70364e+06	1.82763e+06	3.13479e+06
Q16698	Q16698		DECR1		5.40993e+06	9.559e+06	863117	3.70796e+06	901479	9.63631e+06	516687	1.47848e+06	4.80564e+06	760714
Q16719	Q16719		KYNU		62768.1	426717		364826	69735.7	499795	81152.2	191811	52606.1	167992
Q16773	Q16773		KYAT1		722496	800063	827053	739121		852892	979361	879299	460751	392152
Q16774	Q16774		GUK1		748107	692461	853950	364758	961506	555125	1.28772e+06	487370	1.12006e+06	800825
Q16775	Q16775		HAGH		3.70186e+06	6.63917e+06	5.53491e+06	3.86227e+06	4.3657e+06	2.84627e+06	4.48267e+06	4.23105e+06	4.03128e+06	3.08255e+06
Q16790	Q16790		CA9								339975	289193		
Q16795	Q16795		NDUFA9		2.50181e+07	1.89545e+07	2.71429e+06	2.81208e+07	3.92e+06	2.57061e+07	1.87814e+06	3.87768e+06	1.9896e+07	3.43929e+06
Q16822	Q16822		PCK2		1.80438e+07	1.10047e+08	1.79525e+06	6.28128e+07	6.35775e+06	1.13159e+08	2.64649e+06	8.81107e+06	1.21479e+07	2.18291e+06
Q16827	Q16827		PTPRO		57463.9	479964		257904		613473		51083.7		
Q16831	Q16831		UPP1		247107		280655		503149	98934.7	95022.6	269313	389566	
Q16851	Q16851		UGP2		5.19378e+06	6.11505e+06	5.27319e+06	5.78521e+06	7.73412e+06	5.64786e+06	3.30752e+06	4.12559e+06	4.15434e+06	3.68682e+06
Q16881	Q16881		TXNRD1		4.10165e+06	6.40096e+06	884478	5.88697e+06	4.61194e+06	5.09759e+06	6.24873e+06	1.32001e+07	4.90172e+06	4.54028e+06
Q16891	Q16891		IMMT		3.98127e+06	5.17059e+06	2.51143e+06	4.69477e+06	1.69619e+06	5.05764e+06	1.76579e+06	1.8199e+06	4.01106e+06	2.26022e+06
Q17RC7	Q17RC7		EXOC3L4						570827	277771		829871		
Q17RN3	Q17RN3		FAM98C		353257	553741	500683	506141	566234	347837	697083	975367	500686	
Q17RY0	Q17RY0		CPEB4		506595	823783	559056	1.09335e+06	734375	846737	649930	346739	567812	221133
Q1EHB4	Q1EHB4		SLC5A12		1.71558e+06	4.77936e+06		2.21535e+06	531522	4.13153e+06	292210	748994	333282	254917
Q1KMD3	Q1KMD3		HNRNPUL2		81574.9	122750	108738	92734.1		193743	115349	68722.2	140560	303057
Q27J81	Q27J81		INF2		901871	924203	980747	729659	1.76314e+06	378497	1.71549e+06	1.97085e+06	998335	1.51388e+06
Q2M389	Q2M389		WASHC4		1.12867e+06	2.55113e+06	1.05978e+06	1.20925e+06	1.53109e+06	1.85434e+06	1.71615e+06	900331	528786	1.34693e+06
Q2M3D2	Q2M3D2		EXOC3L2		251150	349542	128952	313006	401313	417624	278481	373661	200457	728622
Q2TAL5	Q2TAL5		SMTNL2			239081		353233		422769			168630	
Q2TAZ0	Q2TAZ0		ATG2A		145357	148717		76252.1				191793	102067	
Q2TB90	Q2TB90		HKDC1		2.18193e+06	1.48066e+06	2.38571e+06	1.12098e+06	1.57512e+06	2.30527e+06	549157	1.33091e+06	1.32323e+06	1.17564e+06
Q32MZ4	Q32MZ4		LRRFIP1		158837	166999	425479	121111	94525.8	106118	117134	216858	278951	141533
Q32P28	Q32P28		P3H1		162159	82709.4	510368	88582.1	217912	99423.4		488114	187959	200339
Q32P44	Q32P44		EML3		646040	615007	796610	619197	594457	324605	801123	981749	2.85831e+06	1.40269e+06
Q3KQU3	Q3KQU3		MAP7D1		799033	743654	1.22601e+06	726465	347397	487037	931045	917148	843112	901887
Q3KQV9	Q3KQV9		UAP1L1		1.11194e+06	1.60189e+06	1.59578e+06	1.85904e+06	1.34582e+06	1.94852e+06	1.34789e+06	955729	1.39203e+06	2.7043e+06
Q3LXA3	Q3LXA3		TKFC		3.27045e+06	1.08428e+07	1.63937e+06	6.84325e+06	1.13688e+06	1.70268e+07	1.23676e+06	1.30947e+06	4.86065e+06	1.02491e+06
Q3MJ13	Q3MJ13		WDR72			186516		173250		230578			102656	
Q3SXM5	Q3SXM5		HSDL1		422508	370028	740756	489260	526312	448944	663910	291649	550755	
Q3YEC7	Q3YEC7		RABL6		1.27488e+06	1.32432e+06	585253	780938	400485	1.03836e+06	798095	998622	1.08454e+06	539314
Q3ZCM7	Q3ZCM7		TUBB8											1.8121e+06
Q3ZCQ8	Q3ZCQ8		TIMM50		2.22501e+06	2.31931e+06	1.68661e+06	2.53148e+06	1.38884e+06	2.76053e+06	1.13581e+06	1.82407e+06	2.06158e+06	1.28008e+06
Q460N5	Q460N5		PARP14				184644		407388					223843
Q49A26	Q49A26		GLYR1		276741			325800	308196		138752	306500	429478	252187
Q4G0F5	Q4G0F5		VPS26B		1.04776e+06	1.00172e+06	893164	1.42722e+06	1.10721e+06	1.38011e+06	771148	1.11588e+06	1.12027e+06	1.32397e+06
Q4G0N4	Q4G0N4		NADK2		1.96226e+06	1.98151e+06	1.30906e+06	1.24169e+06	1.7799e+06	1.54064e+06	626655	1.19621e+06	1.79691e+06	426786
Q4J6C6	Q4J6C6		PREPL		1.51825e+06	1.59907e+06	875453	1.8033e+06	1.03319e+06	1.31708e+06	440954	1.26342e+06	1.27833e+06	764730
Q4U2R8	Q4U2R8		SLC22A6		800763	1.71128e+06		1.12771e+06		1.9529e+06		590982		
Q4V328	Q4V328		GRIPAP1		242628	290045	237097	422493	698730	155113		424964	334452	284261
Q4V339	Q4V339		ZNG1F					35145.3	39304.3	57549.5		100913	20523.8	
Q52LJ0	Q52LJ0		FAM98B		2.33964e+06	1.48708e+06	1.62013e+06	2.00635e+06	1.79285e+06	854550	1.2863e+06	1.00807e+06	1.65002e+06	772363
Q52LR7	Q52LR7		EPC2						270244				241373	
Q53EL6	Q53EL6		PDCD4		3.04903e+06	1.71888e+06	665472	2.54626e+06	2.0515e+06	1.09337e+06	2.15436e+06	2.24436e+06	3.63708e+06	2.51103e+06
Q53EP0	Q53EP0		FNDC3B		176637		401542	172430	284124	131253	71317	186711		179586
Q53FZ2	Q53FZ2		ACSM3		1.97574e+06	3.07882e+06		3.33072e+06	56429.8	2.56049e+06		338190	2.02418e+06	
Q53GG5	Q53GG5		PDLIM3		2.38751e+06	705864	6.78296e+06	1.13935e+06	1.75188e+06	840736	329938	981161	2.03169e+06	4.81038e+06
Q53GQ0	Q53GQ0		HSD17B12		780970	941406	331755	875368	616118	838716	605771	1.07239e+06	639327	577112
Q53GS9	Q53GS9		USP39		456591	208538	381972	435307	428996	356555	183716	278630	222066	151980
Q53H12	Q53H12		AGK		3.31505e+06	5.49636e+06	1.66598e+06	2.73473e+06	3.26999e+06	3.41815e+06		1.40978e+06	3.64892e+06	
Q53H82	Q53H82		LACTB2		2.55331e+06	3.08108e+06	612346	1.83644e+06	2.20379e+06	3.65771e+06	914415	1.12972e+06	912663	447458
Q53HC9	Q53HC9		EIPR1		322130	309854	267943	550758	545788	498266	286586	322826	410652	347952
Q53SF7	Q53SF7		COBLL1		2.40263e+06	751515		2.39938e+06	342307	992574	312313	297110	3.15312e+06	372240
Q53T59	Q53T59		HS1BP3		1.87849e+06	1.85261e+06	1.22021e+06	1.04465e+06	1.69006e+06	1.0112e+06	2.24523e+06	2.89633e+06	1.45198e+06	512309
Q53TN4	Q53TN4		CYBRD1		73639	111534		48130.2	38112.4		61680.6		72727.2	
Q562E7	Q562E7		WDR81		150877	208309	224387	180955	140737	180286	203513	333479	97853.3	198538
Q567U6	Q567U6		CCDC93			154199	106201	280269	175207	308146	185002	128469	142683	172354
Q56VL3	Q56VL3		OCIAD2		4.68321e+06	1.01747e+07	626701	8.61968e+06	1.4136e+07	1.25412e+07	2.00942e+06	3.43208e+06	3.09864e+06	2.16066e+06
Q5BJF6	Q5BJF6		ODF2		324387							573784	459717	
Q5BJH7	Q5BJH7		YIF1B			133316		96759.7	142650			104867	80906.3	19105.4
Q5BKZ1	Q5BKZ1		ZNF326		396202	413857	130693	570668	333689	460349	218816	321043	457012	134939
Q5EBL4	Q5EBL4		RILPL1		353533	254086	416221	328215	430563	176990	436723	322893	350480	247538
Q5EBL8	Q5EBL8		PDZD11		1.32625e+06	2.91785e+06	1.25293e+06	2.92922e+06	2.71766e+06	1.97425e+06	2.63173e+06	1.84631e+06	1.19863e+06	1.10713e+06
Q5EBM0	Q5EBM0		CMPK2					242158	577951	217186		303931	277205	248038
Q5GLZ8	Q5GLZ8		HERC4		93932.9	69313.7		149080	73511.2	287255		79715.3	74877.7	
Q5H9R7	Q5H9R7		PPP6R3		503479	176371		264946	261949	254314			421842	260487
Q5HYK3	Q5HYK3		COQ5		1.68401e+06	2.46564e+06	422940	1.6738e+06	420460	1.7361e+06	276215	480702	1.3909e+06	250999
Q5HYW2	Q5HYW2		NHSL2				56262.6		107371	12643.3	97091.9	51365.1	36887.8	126015
Q5J8M3	Q5J8M3		EMC4		898962	1.38453e+06	907822	900051	422812	969772	236413	482736	1.05639e+06	738346
Q5JPH6	Q5JPH6		EARS2		408225	438937		146426			88485.2	168949	376205	
Q5JPI3	Q5JPI3		C3orf38		64158.2							74643.9	62879.4	30892
Q5JPI9	Q5JPI9		EEF1AKMT2		109258	113282	89983.9	243072	215857	28576.9	199667	341992	256439	22507.8
Q5JRA6	Q5JRA6		MIA3		285336	169738	386279	293229	509105	282234	112464	291305	154978	231969
Q5JRX3	Q5JRX3		PITRM1		1.24528e+06	970293	1.3182e+06	867530	276128	1.84067e+06		165175	769624	815466
Q5JSH3	Q5JSH3		WDR44		1.22568e+06	1.22251e+06	1.58159e+06	695105	863943	565756	1.31943e+06	1.00979e+06	1.1818e+06	1.26972e+06
Q5JSP0	Q5JSP0		FGD3					251234		145253				
Q5JTH9	Q5JTH9		RRP12		47911.7		90885.5	33635	95081.8			46862.4		
Q5JTV8	Q5JTV8		TOR1AIP1		2.48883e+06	2.54957e+06	2.28505e+06	1.93146e+06	3.2949e+06	1.47317e+06	377954	3.22455e+06	2.22846e+06	2.09932e+06
Q5JTZ9	Q5JTZ9		AARS2		845623	1.10929e+06		514314	562694	712875		555618	818954	
Q5JU85	Q5JU85		IQSEC2		66525.1	132937			82681.5	98151.9	44424.4	132692	103812	
Q5JVF3	Q5JVF3		PCID2		369767	203782	194581		381487	232596		299016	301655	
Q5K651	Q5K651		SAMD9					806267	545063			520592		
Q5MY95	Q5MY95		ENTPD8			82987.4		25952		36106.9				
Q5PRF9	Q5PRF9		SAMD4B		118927	117573		68135.9	247561	87154.3		132874	130287	
Q5R372	Q5R372		RABGAP1L			378342	360476	384171	470696	464203	261377			
Q5R3I4	Q5R3I4		TTC38		2.03924e+06	4.91882e+06	2.75406e+06	3.05865e+06	1.0182e+06	6.21383e+06	1.58704e+06	1.15083e+06	466408	1.00199e+06
Q5S007	Q5S007		LRRK2					370571	198366		213310	819414	192530	
Q5SRE5	Q5SRE5		NUP188		153273	108111	204370	115524	163277	58871.3	80176	143141	140804	128990
Q5SRE7	Q5SRE7		PHYHD1		38805.9	50975.2		46220.6		115384				
Q5SSJ5	Q5SSJ5		HP1BP3		2.64995e+06	6.98792e+06	3.73533e+06	1.30189e+06	1.44356e+06	6.17292e+06	1.17119e+07	3.31859e+06	3.02944e+06	3.44444e+06
Q5ST30	Q5ST30		VARS2							230273				
Q5SVS4	Q5SVS4		SLC25A30		613937	699076		565706		943523		203741		
Q5SZK8	Q5SZK8		FREM2		203816	708771		412512		715038			323688	
Q5T013	Q5T013		HYI		1.4383e+06	1.34444e+06	3.20434e+06	901851	2.50545e+06	1.23791e+06		2.36722e+06	1.2765e+06	1.44043e+06
Q5T0D9	Q5T0D9		TPRG1L		403779	296914	168935	405056	624364			607345	348506	280289
Q5T0F9	Q5T0F9		CC2D1B		672465	629127	954817	594492	646630	613590	464381	688153	541816	428484
Q5T0N5	Q5T0N5		FNBP1L		636757	677066	1.19656e+06	787537	407122	1.0369e+06	557574	666960	525271	336692
Q5T160	Q5T160		RARS2		207051	283453	57115.7	524076	104606				143521	
Q5T1J5	Q5T1J5		CHCHD2P9		575271		194047	1.21366e+06	748653	2.17367e+06				946444
Q5T1M5	Q5T1M5		FKBP15		665290	871169	644891	759036	1.01559e+06	933488	838034	881990	600618	1.12523e+06
Q5T1V6	Q5T1V6		DDX59		162301	78369.3	282242	144571	466913	71967.8	115893	194603	120472	
Q5T2E6	Q5T2E6		ARMH3		646425	392589	700629	418986	442364	267260	625867	1.01029e+06	484494	709763
Q5T2T1	Q5T2T1		MPP7		216983	132788		360416	123892	27421.4			164194	
Q5T440	Q5T440		IBA57		3.58425e+06	3.63666e+06	1.62485e+06	3.833e+06	2.15652e+06	4.99991e+06	1.35518e+06	1.49722e+06	2.30686e+06	1.18302e+06
Q5T447	Q5T447		HECTD3		811988	778248	904070	765610	626896	735358	871534	787384	664243	798676
Q5T4S7	Q5T4S7		UBR4		896298	878854	1.23812e+06	1.0288e+06	1.11973e+06	774951	1.01671e+06	600671	963337	674576
Q5T5P2	Q5T5P2		KIAA1217		3.43697e+06	3.134e+06	1.43411e+06	2.87227e+06	1.8268e+06	2.64659e+06	2.80505e+06	2.47573e+06	4.27784e+06	1.20416e+06
Q5T6V5	Q5T6V5		QNG1		222945	258856	247344			276934		170485		
Q5T8D3	Q5T8D3		ACBD5		240691	371972	163727	359598	114643	541553	192760	253674	237750	307262
Q5T8P6	Q5T8P6		RBM26		902555	567837	758824	489778	723225	426918	623937	805660	1.06552e+06	696138
Q5TAQ9	Q5TAQ9		DCAF8		159908	50903.8	146546	73989.6	158207	37418.5	103450	43531.2	119596	85643.1
Q5TBB1	Q5TBB1		RNASEH2B		255345	342437	385053	224721	445931	229204	259860	436318	580641	418306
Q5TC12	Q5TC12		ATPAF1		851706	1.36494e+06	276901	1.11804e+06		785841		351307	511129	111977
Q5TD97	Q5TD97		FHL5		171547							306959	329028	
Q5TDH0	Q5TDH0		DDI2		684235	1.75429e+06	3.34518e+06	1.2122e+06	2.17332e+06	2.06932e+06	2.1198e+06	1.76651e+06	1.18811e+06	1.95502e+06
Q5TF21	Q5TF21		SOGA3				568157		709458			332989		
Q5TFE4	Q5TFE4		NT5DC1		845018	902403	964680	875280	1.23545e+06	881985	701441	1.39636e+06	823407	450553
Q5TH69	Q5TH69		ARFGEF3		56852	142294	609910							
Q5TZA2	Q5TZA2		CROCC		681343	559415	419027	623313	345146	515451	366158	564536	1.05044e+06	1.06422e+06
Q5U651	Q5U651		RASIP1		880982	637663	571085	769597	1.25117e+06	500840	1.56112e+06	1.01558e+06	986771	2.21805e+06
Q5VSL9	Q5VSL9		STRIP1		448526	170342	455403	481877	450476	483359	138229	222242	510087	
Q5VTR2	Q5VTR2		RNF20		362773	210635	242093	348294	218678	335085		254476	440211	246930
Q5VU43	Q5VU43		PDE4DIP		144864	112804			141033	60361.5		64069.8	315887	
Q5VV41	Q5VV41		ARHGEF16		217413	258744		163591	252451	190728	654794	232701	229333	
Q5VVQ6	Q5VVQ6		YOD1				456797	201556	312188		858084			209135
Q5VWJ9	Q5VWJ9		SNX30		632520	1.10759e+06		911229	445528	879526	557020	730906	502321	318913
Q5VWQ0	Q5VWQ0		RSBN1		129556	214528	65810.5	180622	247035	57285.9	221295	163291	194654	78762.5
Q5VWZ2	Q5VWZ2		LYPLAL1		3.17848e+06	4.62295e+06	594608	4.29445e+06	2.33305e+06	4.66247e+06	481709	656062	1.98486e+06	502166
Q5VYK3	Q5VYK3		ECPAS		950102	690972	858069	1.18638e+06	481686	693841	507268	988665	1.32756e+06	657795
Q5VYX0	Q5VYX0		RNLS		394345	541324	87886.9	563560	271304	393058	248695	541044	555369	55172.3
Q5VZ89	Q5VZ89		DENND4C		148435	89817.6	132913	122682	127882		302706	156072	129118	201919
Q5VZE5	Q5VZE5		NAA35		311650	257432						272019		
Q5VZF2	Q5VZF2		MBNL2		651282	560423	865424	584390	722580	486898	795053	548465	542936	350650
Q5VZK9	Q5VZK9		CARMIL1		292379	287247		224770				254862	479412	
Q5W0V3	Q5W0V3		FHIP2A			906103		672993	653071	542548	2.39578e+06	358981	337568	365899
Q5ZPR3	Q5ZPR3		CD276				172467	72043.9	139337	176099		102221		502709
Q63HM1	Q63HM1		AFMID		47013.5	43470.2		58348.3		129500		7350.92	7474.02	
Q63HN8	Q63HN8		RNF213		1.36843e+06	625283	2.04562e+06	664071	1.71702e+06	522777	938230	1.56906e+06	975520	1.64875e+06
Q63ZY3	Q63ZY3		KANK2		4.52477e+06	2.50253e+06	2.19472e+06	3.20299e+06	6.7666e+06	1.56486e+06	5.10699e+06	4.05127e+06	3.59096e+06	3.80951e+06
Q641Q2	Q641Q2		WASHC2A		318968	251162	298507	193846	281283	587406	490369	276165	544526	526017
Q658Y4	Q658Y4		FAM91A1		164757	160206	156698	184129	441747		347343	223596	133080	
Q66K14	Q66K14		TBC1D9B		697326	926288	919323	830061	2.21897e+06	378534	1.49708e+06	1.76411e+06	953734	815267
Q66K74	Q66K74		MAP1S		1.70704e+06	792553	1.24185e+06	1.28785e+06	1.71069e+06	670508	1.16822e+06	751299	879474	2.04088e+06
Q66PJ3	Q66PJ3		ARL6IP4			702498	624080	389020	374412	797882		902643	847069	823049
Q687X5	Q687X5		STEAP4		196839		200435				133785		55195.1	95918.4
Q68CK6	Q68CK6		ACSM2B		1.15423e+07	4.51152e+07		2.80968e+07	4.42072e+06	7.34309e+07	5.50662e+06	8.58084e+06	7.4508e+06	1.25839e+06
Q68CQ7	Q68CQ7		GLT8D1		363335	492046	249272	330102	180788	336018	81484.5	360638	260734	163975
Q68DQ2	Q68DQ2		CRYBG3				92821.2		61007				159245	
Q68EM7	Q68EM7		ARHGAP17		1.06593e+06	956502	1.44766e+06	1.01925e+06	1.68057e+06	894685	1.17104e+06	1.55022e+06	1.36177e+06	1.45055e+06
Q69YN2	Q69YN2		CWF19L1				304544	575978	656641	740974	576137	1.40873e+06	608126	776232
