Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
O00268	O00268		TAF4		137256	101052	138950	167432		39206.2	238192	116934	188119	
O00291	O00291		HIP1		1.17943e+06	485144	365122	791543	413047	691924	692751	331639	929303	770153
O00299	O00299		CLIC1		1.07906e+07	1.083e+07	1.43505e+07	8.63956e+06	7.50751e+06	1.31229e+07	9.02727e+06	7.88204e+06	8.41573e+06	1.15832e+07
O00303	O00303		EIF3F		4.73195e+06	4.52198e+06	4.0552e+06	4.06458e+06	4.14066e+06	3.95653e+06	3.02546e+06	3.67107e+06	4.06737e+06	2.13507e+06
O00330	O00330		PDHX		1.04416e+06	777305	343135	899349	322524	852385	193100	251753	645713	
O00339	O00339		MATN2		4.15889e+06	3.66647e+06		1.77049e+06	582276	607214	491652	411487	4.22738e+06	773017
O00391	O00391		QSOX1		82939.2		440560	49583.5	63142.4		102233		190047	280731
O00401	O00401		WASL		627773	615860	400584	531663	377893	897077	717914	680401	840044	321590
O00410	O00410		IPO5		983995	551494	814180	757365	854201	887156	163968	955611	1.11943e+06	401046
O00423	O00423		EML1		2.39493e+06	1.94603e+06	1.44027e+06	2.22807e+06	2.03923e+06	1.85573e+06	3.33004e+06	2.01603e+06	1.72091e+06	3.91968e+06
O00429	O00429		DNM1L		1.42327e+06	1.05976e+06	998516	1.4661e+06	480218	825705	451724	482477	837883	365802
O00442	O00442		RTCA		1.54406e+06	1.6465e+06	2.20307e+06	1.98511e+06	2.0209e+06	2.46001e+06	462428	537671	884039	1.093e+06
O00459	O00459		PIK3R2		119958	269062	110668	140654	200145	161357	158711	150697	175761	
O00461	O00461		GOLIM4		34451.4	47215.2	91380	55386.3	100503	56015.1	26919	70444.6	24960.3	58300.8
O00468	O00468		AGRN		9.51681e+06	7.29601e+06	2.36791e+06	8.25327e+06	9.30397e+06	6.13584e+06	1.33464e+07	4.24481e+06	1.17489e+07	4.9948e+06
O00469	O00469		PLOD2				360380		289138		86901.5	254425		224538
O00499	O00499		BIN1		1.67833e+06	2.79263e+06	221857	2.91302e+06	823355	4.79857e+06	908762	1.15492e+06	1.54941e+06	1.09696e+06
O00507	O00507		USP9Y		384312	716688		1.36205e+06	2.06082e+06	122091	1.22972e+07		157325	6.7489e+06
O00515	O00515		LAD1		95182.2	196920		104242		99541.4			88720.6	
O00519	O00519		FAAH		734080	64841.9		216257		654996		1.04893e+06		
O00534	O00534		VWA5A		1.8681e+06	673021	1.92338e+06	1.22065e+06	1.04639e+06	945062	730973	657887	1.32075e+06	1.80834e+06
O00567	O00567		NOP56		1.20355e+06	1.10729e+06	1.4923e+06	838785	582092	1.26422e+06	1.20884e+06	978784	1.11859e+06	1.0971e+06
O00571	O00571		DDX3X		2.61849e+06	1.89975e+06	2.4018e+06	2.71006e+06	3.05423e+06	2.48468e+06	1.8247e+06	2.82072e+06	3.40982e+06	1.93116e+06
O00592	O00592		PODXL		2.22129e+06	2.43527e+06	910974	3.51956e+06	2.24012e+06	1.89661e+06	2.72473e+06	336303	837933	8.47375e+06
O00629	O00629		KPNA4		94780.9	155476	173838	90496	256992	24789.1	130555	150615	179874	
O00635	O00635		TRIM38		846882	837624	738171	819876	1.43401e+06	740185	1.08886e+06	1.21709e+06	882044	842474
O00743	O00743		PPP6C		1.08186e+06	759091	750590	1.07607e+06	807569	690308		535250	553598	1.06788e+06
O00748	O00748		CES2		1.96947e+06	7.0886e+06	1.311e+07	2.86782e+06	7.64467e+06	5.62329e+06	4.07231e+06	2.89625e+07	1.44723e+06	623983
O00764	O00764		PDXK		1.74424e+07	1.26766e+07	7.13731e+06	1.93668e+07	1.29703e+07	9.35658e+06	8.66771e+06	1.04449e+07	2.4177e+07	5.96363e+06
O14495	O14495		PLPP3		864554	924569	637986	1.10462e+06	864388	807854	2.12743e+06	990787	554588	1.72915e+06
O14497	O14497		ARID1A		14914.9		12762		13543.8		51664.4			
O14498	O14498		ISLR		251388		313332		110161	158464			668981	
O14558	O14558		HSPB6		396402	81637.3	80961.1	59138.5	163365	45509.6			109568	55687.7
O14561	O14561		NDUFAB1		3.63221e+06	1.26373e+06		2.98528e+06		3.86648e+06		1.32346e+06	5.5538e+06	
O14602	O14602		EIF1AY		2.10805e+06	2.485e+06	1.42016e+06	2.43771e+06	3.38253e+06	2.65442e+06	4.56404e+06	2.84982e+06	1.85132e+06	1.49962e+06
O14617	O14617		AP3D1		2.58991e+06	2.60193e+06	2.02607e+06	1.70872e+06	1.81955e+06	2.74354e+06	736711	2.10611e+06	2.12946e+06	1.31461e+06
O14638	O14638		ENPP3		102353	198433	2.54972e+06	194819	1.09485e+06	223157	1.77822e+06	559822		945861
O14646	O14646		CHD1		272314	261196	242137	308013	225062	163197	180826	303440	157835	
O14653	O14653		GOSR2		1.14196e+06	2.97587e+06	710138	1.16054e+06	947826	1.3789e+06	626778	1.45659e+06	911742	852668
O14656	O14656		TOR1A		578696	623127	349406	443095	438953	400283	3.42962e+06	921477	385206	
O14672	O14672		ADAM10		1.91118e+06	1.74596e+06	623891	2.1496e+06	1.39631e+06	1.47047e+06	1.61889e+06	1.05094e+06	2.49188e+06	1.24141e+06
O14727	O14727		APAF1		177515	207184	179832	108675	291830	142530	207993	462203	268449	220569
O14732	O14732		IMPA2		73261.5	209702		212934	221842	1.02768e+06	465288	922161	220332	
O14735	O14735		CDIPT		280238	195451	164832	181356	446179	331252	667257	1.06773e+06	347688	319266
O14737	O14737		PDCD5		2.32783e+06	1.91521e+06	4.3009e+06	2.48491e+06	8.73652e+06	1.59151e+06	4.17094e+06	2.91452e+06	1.76094e+06	3.78369e+06
O14744	O14744		PRMT5		1.45238e+06	1.04974e+06	1.15347e+06	1.33464e+06	1.9952e+06	1.01503e+06	1.66615e+06	1.36886e+06	1.38049e+06	1.18584e+06
O14745	O14745		NHERF1		1.70295e+07	2.82006e+07	1.39235e+07	1.77121e+07	6.72939e+06	5.42861e+07	4.87061e+06	5.49757e+06	7.68006e+06	3.70493e+06
O14786	O14786		NRP1		462321	475242	490778	392416	518607	432608	760561	626150	365990	1.60537e+06
O14791	O14791		APOL1		3.14561e+06	1.8768e+06	4.00778e+06	2.43423e+06	1.93234e+06	1.63745e+06	3.16557e+06	1.54676e+06	4.32305e+06	3.09191e+06
O14832	O14832		PHYH		1.37171e+06	2.90758e+06		3.71339e+06	1.32538e+06	4.21003e+06			1.16025e+06	
O14841	O14841		OPLAH		889711	1.14727e+06		1.15815e+06	1.04081e+06	867100	568591	410166	751710	279081
O14874	O14874		BCKDK		3.04264e+06	3.84284e+06	2.40433e+06	2.91611e+06	4.79744e+06	3.89247e+06	4.46011e+06	6.03286e+06	1.82814e+06	1.00381e+06
O14879	O14879		IFIT3		154529	198474	198281	208947	810804	179567	333246	589860	268651	510013
O14920	O14920		IKBKB		158857		314858	225253	438267		326431		588749	332230
O14933	O14933		UBE2L6		327275	318676			604482				455564	385279
O14936	O14936		CASK		93156.8	169862	320407	196418		209534	230812	33346.5	461545	
O14950	O14950		MYL12B		1.71108e+08	7.95118e+07	1.38595e+08	9.98492e+07	1.1925e+08	7.90432e+07	1.30563e+08	1.03585e+08	1.76144e+08	2.38605e+08
